"Phylostratum"	"GeneID"	"TP1"	"TP2"	"TP3"	"TP4"	"TP5"	"TP6"	"TP7"
1	"at4g31880"	7.99467381676865	8.0040347911661	7.83063995006899	7.90852827196078	7.78539395833198	8.15421325166565	7.61991252772276
1	"at4g31920"	4.40236978067139	4.73867838306787	4.59910900862991	4.4140378191573	4.28186064812728	4.22658076186542	4.78951532456896
1	"at4g31980"	2.42616834458822	2.59895718938625	2.58455967268053	2.21865656385991	2.23764657424291	2.1229993402601	2.35260013484933
1	"at4g31985"	13.4516160123206	13.2076523973603	14.7513215243705	14.4360992465875	15.1510002320557	15.2806286075161	14.8547882380685
1	"at4g31990"	8.6548069830626	8.21369604234764	8.06724994158476	8.6820132844006	8.60597034041459	8.79667264993475	8.57744841420615
1	"at4g32010"	4.45629183428571	4.51027049791495	4.47671121552484	4.51765848640254	4.43540050225073	4.42829089264282	4.29346483356759
1	"at4g32040"	4.87554842349886	4.94199218979252	5.27656948117625	5.14271390321615	5.47051273770249	4.76222722879065	4.9454731940792
2	"at4g32060"	11.1564930939246	11.1055000008068	10.3870816280803	8.53835864306447	8.60698826320933	8.78175625058857	9.82059849766305
1	"at4g32070"	4.33434720928808	4.47398047371144	4.49371849685664	4.50883956997305	4.78492570791168	4.69005812469929	4.63734278065045
1	"at4g32120"	3.8855224117986	3.92267185391641	3.61518432411916	3.79351358065606	3.84845071976269	3.9336759020979	3.95103416145383
1	"at4g32150"	5.85341962241579	6.16647177229009	6.45954448045192	6.44810957207044	6.65462795224609	6.37084099936636	7.01083508220021
1	"at4g32160"	4.50611201850694	4.70438778471666	4.23640248863922	4.34423521243452	4.32606993217179	4.61728895676688	4.62873595602324
1	"at4g32180"	6.10230430250891	6.2024380547774	5.96854502619019	6.09500598061845	6.06373125606144	6.30240242411866	6.35304485228002
10	"at4g32190"	5.41398387291381	5.29627704346186	5.38142064775172	4.75880764736881	4.76830675597675	4.88238411362723	5.1524070336312
1	"at4g32200"	1.25345222016787	1.21925335511048	1.3494349912331	1.36961464058747	1.41091000593173	1.45904700740539	1.36469486995038
1	"at4g32210"	2.4503135836115	2.22506713562926	1.98955688274731	1.99897348992018	1.92413759588082	1.60189064048467	1.96990364173617
1	"at4g32250"	4.50552806472924	4.50047373336481	4.31199023920447	4.48879902783044	4.43919550155808	4.44475745307133	4.44119024748414
1	"at4g32260"	11.0357263854729	10.9237290009201	12.2050057592549	13.6260900219442	13.9089984830482	12.255130597691	11.3444590624194
1	"at4g32272"	3.03931516828091	3.1924380099299	2.99820811179474	2.93493042246716	2.9983521743545	2.90221823118263	2.97823927560946
5	"at4g32295"	3.21437488675268	3.65679780691821	3.51157904381305	3.40055131858249	3.453165891518	3.17629132714482	3.71188869463351
1	"at4g32300"	3.17801947533424	3.1661197183462	3.16001493854045	3.0650133583402	3.04594842483765	3.3489580380974	3.33471610945975
1	"at4g32320"	3.06447374679507	2.99400527701135	2.9152833922365	3.53355054728761	3.40892548258226	3.30568213547948	2.71275294662371
6	"at4g32330"	9.57176349019761	9.83360848863868	9.91690637306733	9.9071184762013	9.75079242022706	9.46877144816182	9.72169237251994
2	"at4g32350"	3.36284710758863	3.38754458799577	3.31188695374312	2.93184511593432	2.84525162283737	2.91000716312774	3.1954262269973
1	"at4g32360"	2.89794884434644	3.03748022879027	2.88686881840079	2.90328540379098	2.85957523600728	2.91778421750393	2.9924837700796
1	"at4g32400"	6.38544975080077	6.244112318772	6.45252824774552	6.06177571559004	6.07963891661877	5.76306092176168	6.07017148644397
1	"at4g32410"	12.5669205319426	12.4190915197675	13.1060026641684	13.0004542014953	13.0203341392015	13.6824839264282	14.0035385742919
1	"at4g32420"	7.12362847543144	7.08321456600904	7.10731726323564	7.27777111255997	7.24397461387357	7.40745689964922	7.08757664739958
1	"at4g32430"	1.27820926205487	1.3626743441942	1.18666198532297	1.24845099263674	1.20828488742622	1.27469851720522	1.21276864181654
1	"at4g32450"	2.24968488598672	2.29151100422917	2.09718320376636	2.28069027776374	2.08644152652442	2.11094087093289	2.03951255120251
1	"at4g32460"	4.10183189871312	3.95019430141217	4.39347306519512	4.63261026539486	4.55984997554096	4.32040124925014	3.66858237845367
1	"at4g32470"	9.65780078725815	9.37158167303422	9.71070001368645	9.58798163597172	9.48094546202896	9.376142486462	9.8710033140517
1	"at4g32520"	6.79556282958384	6.42893227858011	6.84868210779597	7.56293082130198	7.64465392666208	7.74571216731879	6.72472675472383
1	"at4g32530"	6.70108757758525	6.76850821096489	7.34554852964432	6.97977060260538	7.33093265962216	7.11774953683165	7.85247465094801
1	"at4g32551"	8.07770313827167	8.0783172649259	8.40968749486667	7.96895632926074	7.8378876916817	8.05240586065594	7.9259057684926
6	"at4g32570"	5.76189317296413	5.74127958425411	5.61664023430596	6.25283910709598	5.97687841128232	5.97209484813785	5.92540931835478
3	"at4g32620"	5.756239769102	5.88877839303481	5.44508401475054	5.02357278886499	4.8517723600411	5.17792667312066	5.12762719694718
1	"at4g32640"	5.8362003122557	5.869769076174	5.95244341665753	6.08823211986422	6.00810085361607	6.3079798048177	6.14037451964597
1	"at4g32650"	2.7927213356311	2.77733626682374	2.61131710200103	2.53214517261601	2.3635663517786	2.21121557996689	2.16609654254771
1	"at4g32660"	5.3802712741797	5.47045258919703	5.16892869432907	5.47327705164801	5.34176134386938	5.29886655079992	5.1543519161908
1	"at4g32690"	4.09100276377701	4.32689727272586	4.49546150020854	3.748020483018	3.98433290112425	3.88834182674606	4.70397483189807
1	"at4g32700"	2.96861082647143	2.939164424674	2.691336195397	2.73076626395949	2.54451611551622	2.83794829643138	2.67687275010202
1	"at4g32710"	4.70001657157695	4.91552007923569	4.82358321982409	4.77930108242607	4.61986729158416	4.50680671709046	4.38658033517382
1	"at4g32720"	8.52172415070385	8.61736030148202	8.40365271449707	8.60249928477967	8.93947706844579	9.04820146510156	8.55563511613086
1	"at4g32730"	4.72483253863444	4.92104491688064	4.51639420140495	4.67611345142648	4.51811117468457	4.66677825650287	4.61528391768816
1	"at4g32760"	6.52643397376348	6.33058259113472	6.83060629430948	7.09600689812204	7.10079103882539	7.08093919091215	7.03836722404545
1	"at4g32770"	3.65585462059411	3.50275213932329	3.32638875699534	3.20896997286936	3.25119766152275	3.20208414295627	3.08974240236906
