"Phylostratum"	"GeneID"	"dry"	"imbibed"	"testa rupture"	"radicle"	"first root"	"greening"	"opening"
1	"at1g01010"	7.04050216663322	5.98798732115843	4.70589674768816	4.59133701553114	5.10504672831663	5.14500804621229	6.07001044917542
1	"at1g01020"	9.57702344335269	12.5282601160118	10.8561952396887	9.63760941107602	8.87218121729354	8.45821852076507	8.90016346332539
1	"at1g01030"	5.25261010889486	5.47190556936475	4.24230201932771	4.62453133827879	5.45226241464458	5.46119624433967	4.79688936807471
1	"at1g01040"	11.4301307372015	13.0217986713763	9.73386208170524	8.98892131248445	8.07642128327104	7.76254019285098	8.32954389858027
1	"at1g01050"	17.1983469588937	15.7579340828581	17.5232868244842	19.6238743979978	19.6183843979464	21.0146885021786	21.4474565924432
2	"at1g01060"	4.08044736718487	4.45704388674431	17.3026167384481	19.9383207122079	11.3980450907266	15.4912017970076	21.165979272778
1	"at1g01090"	16.0364270096377	27.2493611162858	32.2615049244946	33.3707413795798	35.1891802244974	35.7273210104777	35.2799595091257
1	"at1g01100"	10.1450706014333	12.784529541723	12.0085856122912	10.8093310180455	11.0678096607303	10.6038627724023	10.1210144749412
6	"at1g01110"	5.14985626546799	9.86974971409789	9.73692007702845	8.01293903360491	6.77676229029222	6.24394141062316	6.53120714909801
1	"at1g01120"	3.30577492154331	3.37228312900495	7.91897112587938	11.5371928367879	8.00346833591268	14.0121814140916	17.042780623953
1	"at1g01140"	4.89040913357045	12.7650533893903	13.2291640905296	16.2149911731794	15.0823291352318	16.3423777505889	19.1253268709045
2	"at1g01160"	30.3811449054207	27.3524185645354	21.8148200315132	19.3075673662789	17.4530749505508	16.9196892484749	15.6719703338324
1	"at1g01190"	3.43033585407493	2.71303250612256	3.17262828386174	3.27946164025198	3.26586992907764	3.15914283330972	3.73910935864286
1	"at1g01200"	4.39785742315581	5.70778766677874	5.72331561290622	5.16298175536804	6.47304933696718	7.02097553080898	5.00033181517912
1	"at1g01220"	5.663898846231	7.49442260944739	8.92176614667719	9.41289063797696	9.75811058808458	9.06941607094552	6.79841767694236
1	"at1g01230"	19.4679130803007	13.7556286270344	12.4008977928968	12.3755722592647	13.0171616256926	12.9715741951333	12.882461120751
7	"at1g01240"	22.998055811743	9.1025189133947	3.90478153152149	3.51780252962606	3.83311956430208	3.98956697749253	4.64421308324403
1	"at1g01250"	10.4628985006417	4.52464049234234	3.03771635784076	2.74217282575117	5.36214227797354	6.47414121118059	5.45798211327903
6	"at1g01260"	8.29720156022571	7.79583469704286	8.56219880256904	7.98101277540822	7.32174654614854	8.24817914064072	6.28039877705372
1	"at1g01280"	2.94993670545923	2.39086609814721	2.42018304517788	2.63079074489138	2.56116286997402	2.75535874149526	2.55638802305878
1	"at1g01290"	8.37582422773018	14.5382747125504	12.7587801815755	10.8243125690174	9.20973407468221	8.0965053135243	7.14867814876685
1	"at1g01300"	18.871508351061	28.1520420043391	25.8266717726914	23.8821199294905	21.3978409935293	20.1216494284523	16.6367301139085
1	"at1g01320"	15.5529157485437	21.8324908938513	29.2683227240534	30.0796143792524	31.1086165738509	28.028477994506	21.0044048033986
1	"at1g01340"	4.51011952210888	3.89521465429622	4.26077046551909	4.87398057065708	5.19807998503235	5.16548686083847	6.03195639748822
6	"at1g01360"	11.3662215240629	6.0324462951478	5.6185972915545	5.55779132153982	6.79756637398307	6.54505886099054	7.92419198219911
1	"at1g01370"	3.6696242169308	4.29794742007553	9.07935094069244	10.3887187651643	10.5312844460426	9.51950682004692	7.16855663669191
1	"at1g01380"	2.43164395053897	4.29515987734463	22.8394789561871	22.4206935298856	12.5999272609856	6.97118783109716	8.090623196024
1	"at1g01390"	3.27809273226575	2.87424458420125	3.38090739377036	4.64763466143716	8.9148477951881	15.9563451808376	19.3123077556137
12	"at1g01410"	3.01681765803808	2.63541805381429	2.61769195439091	2.71391618607539	2.57703536089785	2.80851498398206	2.62843094660877
1	"at1g01420"	4.96564858472361	2.97901075754791	3.10062632078191	3.40746538174995	3.91355395042612	5.00250371436196	7.71467028928276
1	"at1g01430"	5.58230970391679	8.74322484182335	10.7816494264304	11.1031464584617	12.9802626125427	13.2989536337189	17.8488988350751
1	"at1g01460"	3.76240329297068	2.75183378817537	2.78864669814974	2.85922502523033	2.79543086726372	2.95532234984532	2.9092232273682
1	"at1g01470"	23.0986986079035	10.0438988527624	5.15316218852204	5.85410585612953	7.13275786810517	10.8583701655058	13.4994650540178
1	"at1g01480"	8.96756625950821	3.38758269930997	2.88398134656047	2.98728040954789	3.12513316700702	3.30282302231694	3.55703499155417
1	"at1g01490"	7.14333195925582	11.7158833852212	12.533076279673	13.5353879491806	12.6175756670899	12.0925394004613	13.7084320930596
1	"at1g01510"	11.6047885722371	16.17262733432	17.3778094854721	16.5136428091995	15.0834617240958	14.5329683747282	13.8156337073778
1	"at1g01520"	13.7927860894982	5.39853578699007	2.7853088946474	2.79480636945092	2.54432506100192	2.84250620809871	4.43899935796894
1	"at1g01530"	2.78963492903515	2.6137466963761	2.76926541620437	2.7403177081061	2.79789049730777	2.84061012254485	2.89005042876099
1	"at1g01550"	23.4769702608704	18.7485701287671	17.5555728341241	19.0437386945508	20.5803959453417	22.0805468891987	25.9227823063772
1	"at1g01560"	3.44778345683706	2.57000648529614	2.74294558109947	2.85238390134368	3.16151120637046	4.81758737796835	4.51787858569968
1	"at1g01580"	11.1214770433524	3.96308478810268	6.33109115080506	6.81832641088518	4.2950928913629	3.85519499531487	4.25220406288381
1	"at1g01590"	2.90405947507633	2.73414009380375	3.1181961134826	3.09030414381423	3.00086101083163	2.73752062317896	2.7368157909348
1	"at1g01600"	3.95972296984776	5.13757482236521	7.94984647620517	8.50261138207599	4.61698432177763	4.43597120304687	4.80551427564197
1	"at1g01610"	4.38672823964858	8.51407225308253	21.3569096693458	20.4209819226937	15.864075020246	15.6430038371523	19.9004617380314
