"Phylostratum"	"GeneID"	"0d"	"1d"	"1.5d"	"2d"	"2.5d"	"3d"	"3.5d"
1	"at1g10930"	55.8543432978094	55.4125382358877	56.8208291174277	55.8848561392369	54.9605462936729	55.529592759211	56.3268553627272
1	"at1g10940"	42.7231329597798	43.0357777292872	42.7962772602029	41.6680377649525	41.09108980689	40.1555944956124	41.554958671955
1	"at1g10950"	63.4978712745894	63.5730578660902	64.6305034033386	63.3908402425126	61.8343026206521	62.6890226430731	64.2970772707702
1	"at1g10960"	233.273363424638	246.020662259665	248.018244932658	252.376160509279	242.080202324735	248.613778663281	245.384249794309
1	"at1g10970"	44.5443900900088	43.9657614462398	43.8920707828265	45.0180073131118	44.7109177827228	45.1594185600161	44.7585449751816
3	"at1g11000"	58.963246184519	63.1601137243081	63.5108091630602	67.4614072606275	64.8925522725617	65.8541502106675	67.0799459522451
2	"at1g11060"	33.0858291630257	32.8902035658719	31.9208506036838	32.8358577951576	32.4421391700715	32.0917718697926	32.3500766316997
1	"at1g11080"	10.6050983859037	10.5593853504751	10.7131723540393	10.7535345900827	10.8970798344392	10.6207266264873	10.5553574710869
1	"at1g11090"	43.6444263603902	43.4182998952526	44.0084159392542	43.7125171929442	43.6025011315959	43.9730641470936	43.2643789423949
1	"at1g11100"	16.3785017657871	16.1358797689529	16.5988385776981	16.6423789109292	16.006405232313	16.4871364180529	16.3097629540527
1	"at1g11130"	78.8082542540346	76.6266219947733	77.760907703721	77.7624604727796	77.8726420247726	77.6164416072516	76.580924871738
1	"at1g11160"	14.5065522249174	14.3306395369793	14.4253162962026	14.354898725379	14.1303308934677	14.2716194063739	14.0384825592306
1	"at1g11170"	13.8997386913506	12.6827057217754	12.9576040178665	12.6373469063653	13.009541219709	12.8335686125718	12.2956643689343
1	"at1g11180"	27.7214636358257	28.7904071813121	27.7147882553629	28.1641193964336	28.3037871831451	27.244688773479	27.55227204077
1	"at1g11190"	15.8209360502652	16.2226421973333	16.492898274131	16.1449104650339	16.3321738213294	17.0041296862559	16.7682691294791
9	"at1g11210"	30.0615299918673	30.0859437279933	32.1257465516722	30.0987234952444	32.29771756304	31.021833583846	29.7940218843195
1	"at1g11250"	9.82959899958196	9.87554333903833	9.97833056203184	9.73358510794414	9.5803804477408	9.66731162970371	9.60607142667346
1	"at1g11260"	76.0644838402658	76.7756970881418	74.7016624120108	74.593098853194	76.9089947343197	74.8439275594847	75.6447446526582
1	"at1g11290"	20.9748539661583	21.3053219230946	21.2160434365882	21.1562573247555	20.7803175362301	20.5436146289099	20.3971076160829
3	"at1g11310"	58.7321839845828	59.0873062663154	59.2369827894202	58.8230375083596	59.6684048096842	59.802425727361	59.5492073797469
1	"at1g11340"	7.76541281506508	7.90466944016199	7.64756587950327	7.82025044627103	7.6176978474973	7.71828841617187	7.68014620489991
1	"at1g11350"	26.0657681366553	26.014468048679	25.338274667239	24.7770552682049	24.6029014396451	24.2036142020149	23.0469706667417
1	"at1g11370"	10.899562308207	10.34284295316	10.2776572075805	10.0536880960086	9.81588925682556	9.84848892267541	9.57446487613267
2	"at1g11400"	12.2442283350479	12.4761251534555	12.4456171252712	12.4355567369404	12.2582397029107	12.294303280586	12.5318948561459
6	"at1g11420"	34.5683317944685	34.6106530039745	34.9604701356004	34.4315325299173	33.5480766982803	33.984348726082	32.743965454416
1	"at1g11430"	53.4399754364164	53.7731328879906	55.0793370447027	53.8497565684354	54.1907245270139	54.2954594689104	55.8407382691798
1	"at1g11475"	57.5618939009579	59.1837785389427	57.1423763677233	57.6344578272909	58.5470602128085	57.3011475360792	56.9123580837356
1	"at1g11500"	10.8899815221564	10.7338922947634	10.8018597553538	10.9910542820003	10.6951180997246	10.9886585321604	10.2296019621152
1	"at1g11530"	29.9208661394242	28.7251094478378	29.3710901610005	29.352923827019	30.6011556104594	29.9037060601058	29.7810043859541
1	"at1g11545"	36.6652413601711	41.5755657476054	42.7996433719307	44.4822951511023	43.4921701209025	42.3042245064879	41.4762158496915
1	"at1g11560"	7.59873881214732	7.64476257595002	7.46026884670939	7.45359326647697	7.36980737314563	7.26970619303029	7.36731145787245
1	"at1g11570"	9.38610543727796	9.33295338725178	9.33437016555146	9.34765580714159	9.2011199489721	9.08076288676227	9.04877843290752
1	"at1g11580"	14.412364431951	16.9551762285678	17.4389500358446	17.5212654172677	17.7995399848246	17.1973917689317	17.096715338262
1	"at1g11590"	7.27612532700865	7.30509711358547	7.48377465452742	7.34322993513932	7.62127279089216	7.46102817066174	7.63567976478867
1	"at1g11600"	164.390989983757	163.113331708066	159.884326309414	160.457814295162	163.877572661584	160.677464498858	158.54513708176
1	"at1g11610"	8.35744490948619	8.08975606595241	8.33175213234593	7.87783181838429	7.91264176946574	7.77950521461714	7.83868516677047
1	"at1g11650"	141.769089514639	147.530356273562	142.410426873896	146.674538138822	146.409314148889	144.9481953275	149.458098364805
