"Phylostratum"	"GeneID"	"Zygote"	"Quadrant"	"Globular"	"Heart"	"Torpedo"	"Bent"	"Mature"
1	"at3g47950"	32.0175100530944	28.5328826426634	31.4383733659997	31.0098448061257	31.1094583125454	37.9131064804772	54.9601472614476
1	"at3g47960"	28.1643355433783	28.8679474452203	30.7279014626772	28.3441217009806	29.0289388249037	33.0748950414056	34.344161730926
1	"at3g47980"	26.8638795709034	25.9310631405656	26.3127157207309	25.85201460815	25.8840146963333	26.13481722339	27.6464286608596
1	"at3g48000"	86.0617902381772	67.0685126046493	56.5013102856916	67.8668162211842	68.2163749036842	127.276192628472	194.172890667055
1	"at3g48010"	27.432718162807	27.1346558113421	27.5227401542797	28.7431416602291	28.4042408928667	28.1321048945862	27.9303488896935
1	"at3g48040"	63.40806607207	59.2068421975028	58.8445252083828	61.5990299274266	56.77325099904	43.4136405637675	34.429435603855
1	"at3g48100"	34.5600611110571	38.2423809797455	35.9652197546463	38.1042825677115	33.5432730662945	28.8626747391852	28.5373659874208
1	"at3g48110"	29.655671988677	30.4725406243063	30.0465202078377	30.4553349185327	30.0915547637539	29.0194861549959	28.8763071600231
1	"at3g48150"	26.9471381968476	27.453606508071	30.3716974204604	31.0247106577966	32.24976976662	28.6059493357588	30.5245366434939
1	"at3g48170"	27.4248240103743	29.3638742334863	30.3369531182682	28.143547025917	28.676845272798	29.8926966063619	30.6632371187388
1	"at3g48270"	37.4135632625389	24.73221985791	24.6599457379776	23.8511293841612	24.8544859914664	33.8751350255612	140.413418411489
1	"at3g48280"	27.6486935622644	27.4498340614292	29.4325743590329	28.4743467967221	27.0299946004434	26.7704840449328	28.490084568144
1	"at3g48290"	33.7346421649912	34.9082957905424	27.5463289005994	28.0228903826854	28.2012338400291	31.3431015679687	79.0622176074008
1	"at3g48300"	57.6968411700328	49.6526179571631	63.6858184370743	64.8249372695416	48.0270150644406	45.9248682415094	34.6503474152858
1	"at3g48310"	94.211015417519	79.5449920170968	66.7068573761348	66.0284176018175	68.6259207879938	133.030551942026	167.046766415875
1	"at3g48320"	28.2784124678172	28.9099685316328	30.6131571566867	28.9844914497391	29.1419558077354	30.5444583288033	37.5325955537317
1	"at3g48330"	67.974639572417	59.1995736724514	50.3377922142002	52.7587033294034	69.1261674042472	81.414676999912	34.8461787718539
1	"at3g48340"	28.2056748811299	30.382443693686	27.1839623877756	28.267347448956	31.6934136533129	29.7825604423125	27.2193777114761
1	"at3g48350"	28.8533869138443	28.9708708999229	28.1407586429364	28.8576849348661	29.6602696515052	30.001589346233	28.9597272518234
1	"at3g48420"	36.4468477649302	37.3892067848464	31.3148718103715	34.5637562050191	41.3872421043007	39.1969076458845	29.6804730892215
1	"at3g48425"	28.8025381728764	27.9496616777377	28.8918534469494	28.8216161829971	28.6802517387836	29.664237187226	28.4562921126418
1	"at3g48520"	36.0112293319737	61.7015698260587	37.6274918909034	32.2630206273374	28.3345855431132	28.8741561036855	27.4773948564998
1	"at3g48530"	67.2018916698034	59.9700897364678	55.4356690047121	55.9320063827501	49.3760463686594	48.6185191362304	52.2090393035535
1	"at3g48560"	40.5150576082523	52.7674995807078	74.9066311550586	72.541264760135	74.9295683825818	84.4258770223916	74.1176939940795
1	"at3g48580"	34.0160536217828	41.5263176190714	35.1460790700755	35.8495830101272	36.7804644614502	30.9586102788869	36.7015243961337
1	"at3g48600"	31.8984904658512	32.506758774138	33.7643934789298	34.3906775740171	33.27556074659	31.9580333093261	32.533036731913
1	"at3g48610"	35.5024563234715	39.4921036917508	39.9382055430637	34.0798691752184	31.553116903089	33.4071467503587	28.8442183478769
1	"at3g48620"	26.3023595690577	28.6719357909437	26.1155867826093	26.0310053801231	26.4528711239442	26.8405224688343	25.7186194866676
1	"at3g48680"	25.040519046138	24.6897688952327	24.3140277473725	23.8357125276338	24.9339329288422	26.1071858154034	26.2765870671973
1	"at3g48690"	27.3324375751597	26.3126644678945	26.965907857886	27.0267423379141	26.2154438470914	26.7109137114401	35.391877076527
1	"at3g48700"	28.3566855432718	27.6816383239865	27.3713629821388	28.0876593773849	27.5257691754472	26.7851613398165	26.948767131355
1	"at3g48720"	31.5900933078711	29.8606578326734	29.0449034186723	28.9861796861884	29.75405975157	29.0340194547706	27.4136189073971
1	"at3g48730"	42.7605095736709	49.7058120444682	49.6655610458595	49.1651068645233	41.1914640793454	39.3237518174449	39.1346995005711
1	"at3g48770"	27.735273238243	28.6392707117343	29.9506773662967	30.2630093959606	29.5789163188917	28.6424676974593	27.5878823652704
1	"at3g48780"	26.616580321296	28.0810061108928	29.0998188619792	28.8760108931272	29.930962480348	28.7346631092136	28.5314216698012
1	"at3g48800"	26.0453445552175	26.3698800016231	24.9763479716311	24.7798421584965	25.534426692213	26.0156272440239	25.2742940020092
1	"at3g48870"	190.475586887139	180.837052398008	172.718960047819	190.545777177034	167.812595087496	150.908468218321	120.949896734144
1	"at3g48900"	25.3712924739754	25.7579994098921	24.9652648694141	24.6438359311208	24.9441079856547	24.3239396068976	25.8956717927919
1	"at3g48930"	171.029871689129	210.610833980591	242.217180914154	228.880290719843	200.999827039727	172.963512857481	53.4526820842509
1	"at3g48950"	27.5469074834182	30.4535471135958	32.8046809159912	30.1935176884046	29.576280699236	29.8389872867696	27.0539162636392
1	"at3g48990"	38.5450206641532	30.9895592127413	30.6508187101095	32.158507272571	31.050465658344	35.7679472433071	97.4287105323682
1	"at3g49080"	33.6654732181207	37.3001973989415	35.2333857442057	33.0230229688319	34.1903267021536	34.6648172503477	35.6278922334735
1	"at3g49160"	32.7916347869392	31.5619973956022	30.7841821314129	32.2066020405755	33.3282608307124	42.184314442693	30.4779150664871
1	"at3g49170"	27.3039684386721	28.6285551678739	32.6760633950909	31.8198070704396	28.9391335409338	28.2271593717823	26.9461001760923
1	"at3g49180"	47.9339755184149	47.6180019530429	43.5611517754065	43.0295365766354	43.067159506984	38.8103382618601	40.5839913389504
1	"at3g49190"	25.149001809217	24.3677676511411	24.9149846176954	24.6510375278608	24.254269234508	24.6065727459149	25.8614331215422
1	"at3g49200"	26.9338751426526	26.9553894221545	26.8837787224936	26.840117019119	26.9757408684173	29.2072802225746	26.297511469719
1	"at3g49210"	27.2532364445032	27.3682483655787	26.5371371892297	28.2735874165271	28.4026484979834	27.2513852730462	26.7824466227415
