"Phylostratum"	"GeneID"	"Zygote"	"Quadrant"	"Globular"	"Heart"	"Torpedo"	"Bent"	"Mature"
2	"AT2G02180"	35.2202456408243	28.9025316520889	32.4291237007724	30.4133015899294	32.2326956520859	42.1021693502841	83.8949118898161
2	"AT2G02290"	27.8402632530657	28.7545425454831	29.8730577577857	29.3458212016635	28.5185489234638	28.5788279903148	28.2928263752493
1	"AT2G02360"	31.8697449785843	33.0401190827152	34.2153456945856	34.3430135253154	33.6002301480213	33.9738598042672	34.5644909408485
1	"AT2G02470"	32.1617616122003	29.9904190484228	37.6321281885572	41.8692794420922	41.0899491116745	34.2736953070427	44.9215972556631
1	"AT2G02560"	27.8115357558694	27.2726223693285	27.8214654969863	28.5791140100599	27.9338680744361	27.2140655158321	27.8559615666019
1	"AT2G02570"	69.9976830473695	56.5035006880105	50.3399088994011	50.1241523120342	45.864081992339	47.2514573743498	95.3012784436809
1	"AT2G02740"	58.4826714848082	55.6373924802376	47.793232355638	52.3402760787522	70.2094040068708	62.7950985826123	54.8551703397228
1	"AT2G02750"	32.2629431236519	32.9935311083855	34.4863262177925	32.033359268113	31.4329996198263	30.749374525346	33.952766190695
1	"AT2G02810"	29.5021673119112	28.5688179541961	30.0974205904758	30.1314620903135	28.5605819916191	28.0751592675803	28.0729152814595
1	"AT2G02820"	28.4460139334143	29.82776608464	30.3417633320808	29.717669355116	28.7296838061264	28.7968764521432	28.8210654487304
2	"AT2G02955"	50.1183660846999	60.3785129578396	52.3162972313599	49.6564786911033	56.7761348015168	45.673962046225	45.3669739237697
1	"AT2G02960"	43.3667804085108	45.3671936645854	45.9600672214478	47.3347228047234	44.7934376555316	41.0557154608223	44.088996699857
1	"AT2G02980"	30.427240113096	30.0200509743072	29.7037654969871	30.7042313452071	29.1931003440882	28.5624580909977	29.0566232673379
2	"AT2G03000"	32.9299385514155	34.320047304746	32.9237398999567	32.097075147122	32.5014983039244	30.9892740928212	32.1340848477127
1	"AT2G03040"	30.4519787353794	30.4099578658044	33.8645198548569	33.2374959646481	29.1191669764092	28.4535060669156	28.9267908399809
1	"AT2G03050"	29.4303086086436	30.1263003818922	30.3001068892504	30.3357403931402	30.0251306158691	29.6369622279342	37.7936008869226
1	"AT2G03060"	30.7017585603822	33.4729089862235	36.1394852066268	32.8486574307079	31.4645598364255	31.6281241618911	30.6192450462124
1	"AT2G03090"	126.454702838605	155.664761169637	139.889467080263	171.95041171803	174.406393976826	201.238556370294	74.0872235206584
2	"AT2G03110"	26.673469502485	25.5208781216478	26.3229961535536	27.7471571390656	27.3193033494634	26.8740137158557	26.3595677373511
